RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394952,66,"Ventura, CA",Msa,CA,779650,780983,777650,785667,779319,772652,756319,747923,728240,711540,696433,689750,688116,691300,701000,712333,725667,739300,749633,761633,774667,784633,784633,781600,783300,796633,813667,810667,805333,808333,832667,856317,867983,871567,864883,864883,,,,,,
394318,67,"Allentown, PA",Msa,PA,222867,222867,225900,232300,237300,240267,242567,241100,236767,231767,228267,226600,224267,225900,230900,238267,244633,248000,251300,251600,249933,246600,243300,241600,239967,243300,253000,261300,267933,269933,277515,283882,288548,290833,291133,293133,294966,307330,317330,325630,326233,324233
394561,68,"El Paso, TX",Msa,TX,183291,183490,183675,184381,184907,186718,188874,191247,191971,192189,192370,193638,196536,199597,202296,204271,206281,207911,207911,207151,206444,206462,207929,207911,207911,206462,206462,206082,206989,208819,212424,215030,216823,217545,,,,231113,233075,236260,242243,248280
394367,69,"Baton Rouge, LA",Msa,LA,230906,231600,234600,239600,244600,248267,248600,246933,245100,243133,241500,239967,239967,241433,243800,248433,253300,255967,254667,250967,247600,245267,243300,241667,240633,241600,244900,247933,249900,253233,257900,263633,267667,271300,271933,271233,269600,271267,276267,284933,293267,298267
394521,70,"Dayton, OH",Msa,OH,128133,126267,129933,134900,140233,144900,149900,151567,149900,146567,144233,142567,142555,143222,148222,153233,160933,167600,175933,179900,178233,172262,167962,165325,163997,166630,177633,189267,199933,204900,205567,202800,199467,202833,205963,205963,204297,206600,209048,210715,214082,219997
394843,71,"McAllen, TX",Msa,TX,192167,190467,190433,191567,193100,194800,194833,195000,196000,195000,193333,190633,189967,192633,195833,200833,204167,207335,207335,204669,201633,199967,199967,199967,199800,199633,199500,199333,202500,208000,215000,218667,223000,227999,231663,230996,227663,227663,231997,238848,245152,250985
394486,72,"Columbia, SC",Msa,SC,193161,193193,197808,205794,213748,220344,221942,220754,219077,217512,220328,222006,226126,227069,228666,232211,235741,238616,235709,231237,226733,223539,220752,218395,218395,221666,225968,230472,234460,237306,240488,242884,242884,242094,241826,243633,245433,247933,252633,257900,262767,265400
394648,73,"Greensboro, NC",Msa,NC,196267,199800,208013,219713,229880,236317,242950,249583,256267,257933,254600,250900,249267,252600,259933,269600,279600,281300,279600,272300,270467,267467,265767,263233,261267,260267,262633,262967,269633,278217,289217,295750,291624,283924,271424,264933,263600,262263,266297,270963,277967,279133
394304,74,"Akron, OH",Msa,OH,145900,143933,144633,151167,159767,168067,173200,172933,169300,164300,159600,154900,151567,151600,154967,159967,166633,173267,177892,177859,173726,169100,163467,157600,152600,152267,157267,163933,171267,177967,183332,186665,183332,180483,172450,165783,158267,156633,164017,175383,183717,186333
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,357943,359327,360045,360018,362018,364933,368567,367600,362633,357982,354615,352948,353967,356300,361300,366633,371967,376933,376933,374966,370833,370265,372265,374765,375330,374997,374997,370777,367410,366710,372567,377267,379467,379467,379767,382933,,,,,,
394798,76,"Little Rock, AR",Msa,AR,168337,170789,172521,174943,177119,178652,178376,176812,175280,175433,175463,175463,174666,175280,178069,181932,188982,193887,197719,197719,196186,194653,192783,191864,190944,191281,194960,198945,203543,205351,206578,205045,205076,205814,209485,211595,213858,214415,221633,226633,231600,231633
395134,77,"Stockton, CA",Msa,CA,356115,357952,356427,357983,358933,365159,366716,365797,362669,359524,357656,356115,353033,351788,354590,367043,382297,394750,402533,408354,410222,408596,407740,408985,407467,405633,405633,407065,408603,414830,425259,437400,442381,443094,440572,441659,445250,458962,466633,482967,489600,511595
394457,78,"Charleston, SC",Msa,SC,367643,369822,373198,379336,384860,388113,388352,383748,377423,371200,367363,364604,363990,367796,376696,385136,389770,391305,389157,383018,375315,369760,367919,367336,367059,369344,376066,380022,386944,392192,400819,406957,410640,413935,415801,419667,424333,434666,446332,461666,478030,491363
395143,79,"Syracuse, NY",Msa,NY,129451,130606,133536,139144,142215,143624,144779,145935,145963,144808,143652,143342,143342,144751,147851,153487,159122,163912,165321,163800,161574,158756,157460,156333,156924,159742,163941,171802,178847,185920,188766,190174,190174,190976,188943,188171,187268,196929,209267,225967,236600,243967
394484,80,"Colorado Springs, CO",Msa,CO,482342,480515,476132,472701,470838,458016,441942,425139,416043,412389,410965,410965,417696,426792,441404,449285,458417,463896,474819,476646,476281,470801,472628,471167,469377,465760,471240,478914,488010,491663,496774,496774,491295,480664,474308,472737,,,,,,
395235,81,"Winston-Salem, NC",Msa,NC,209900,211567,213267,216600,218267,221600,230300,240333,248633,249600,247600,245633,245633,249300,256300,265667,276633,283423,286090,284880,284057,282587,279827,277160,275263,279600,284630,287363,290997,297633,306567,308233,304102,297435,289735,283567,280867,280867,283027,284173,286055,289891
395224,82,"Wichita, KS",Msa,KS,176600,182600,190933,200933,206567,208233,206233,202900,200600,197963,193663,189997,189667,193967,202267,210600,219517,224700,224533,221150,217000,215500,213300,208267,203100,201467,209667,219767,234583,248750,261350,264767,,,,228981,228300,234950,244617,251283,247967,238300
395115,83,"Springfield, MA",Msa,MA,241822,242630,248258,256685,264925,268625,268625,264272,257773,251523,246859,242195,238184,236629,241573,251834,265516,274844,278233,278000,276352,274207,268221,263370,260540,263650,272978,285416,298134,309328,318656,324875,323289,321123,317290,311267,304300,304333,318000,340000,351667,354667
394440,84,"Fort Myers, FL",Msa,FL,248616,248643,248643,249445,249418,249390,248561,248312,248064,248036,248036,246931,246296,246296,247401,247815,247815,247815,247537,246432,245051,245329,246682,250412,253451,258866,262872,263121,263231,265165,270165,271574,270469,270442,270442,270442,,,,,,
394399,85,"Boise City, ID",Msa,ID,326467,343133,348300,354633,356819,361819,360452,354963,351627,348327,344996,341633,341296,345960,355660,369297,381297,388263,388297,384933,380600,374767,371133,368800,372633,379300,388318,393648,397312,403293,413297,421630,426660,431327,443097,452733,461367,469567,483267,503888,526377,548044
395160,86,"Toledo, OH",Msa,OH,126933,125600,130133,136800,144800,148267,149900,147900,145767,143467,142133,140933,139900,139933,146633,158299,173299,181633,183300,179433,172767,167633,163133,161433,159867,159867,161533,166600,179133,190800,201133,208632,208665,206498,193133,184767,178233,184900,189900,189933,184967,181667
